Code,bbc_full_name,bbc_shorter_name,Region,Marginal,Con1,Lab2,Lib_Dem3,Ukip4,Green5,Other6,SNP7,Plaid8,Winner_code,Pollster,Date,Notes,2010 result,Hold or not,Con10,Lab10,LD10,SNP10,PC10,Grn10,UKIP10,OTH10,Maj10
S14000058,Aberdeenshire West & Kincardine,Aberdeenshire West,Scotland,No,25,10,20,3,2,0,39,,SNP,Ashcroft poll,19-Feb-15,,Lib Dem,Poll suggests SNP may gain from LD,30.3,13.6,38.4,15.7,,,0.9,1.1,8.2
S14000003,Airdrie & Shotts,Airdrie & Shotts,Scotland,No,7,39,1,5,1,0,47,,SNP,Ashcroft poll,22-Jan-15,,Labour,Poll suggests SNP may gain from Lab,8.7,58.2,8.1,23.5,,,,1.5,34.6
E14000533,Amber Valley,Amber Valley,East Mids,Yes,33,37,3,22,3,2,,,Labour,Ashcroft poll,12-Jul-14,,Conservative,Poll suggests Lab may gain from Con,38.6,37.4,14.4,,,,2,7.6,1.2
S14000006,"Ayr, Carrick & Cumnock","Ayr, Carrick & Cumnock",Scotland,No,21,31,2,3,0,1,42,,SNP,Ashcroft poll,19-Feb-15,,Labour,Poll suggests SNP may gain from Lab,25.5,47.1,9.3,18,,,,,21.6
E14000933,Basildon South & Thurrock East,Basildon S & Thurrock E,East,No,35,28,4,29,3,1,,,Conservative,Ashcroft poll,05-Feb-15,,Conservative,Poll suggests Con may hold this seat,43.9,31,13.4,,,,5.6,5.9,12.9
E14000552,Bedford,Bedford,East,Yes,28,38,14,15,3,2,,,Labour,Ashcroft poll,30-Jul-14,,Conservative,Poll suggests Lab may gain from Con,38.9,35.9,19.9,,,0.9,2.5,2,3
E14000553,Bermondsey & Old Southwark,Bermondsey & Old Southwark,London,No,14,35,36,9,5,2,,,Lib Dem,Ashcroft poll,13-Sep-14,,Lib Dem,Poll suggests LD may hold this seat,17.1,29.2,48.4,,,1.6,,3.7,19.1
E14000554,Berwick-upon-Tweed,Berwick-upon-Tweed,North East,Yes,33,16,30,17,3,1,,,Conservative,Ashcroft poll,28-Aug-14,,Lib Dem,Poll suggests Con may gain from LD,36.7,13.2,43.7,,,,3.2,3.2,7
E14000560,Birmingham Edgbaston,Birmingham Edgbaston,West Mids,Yes,29,48,3,12,5,1,,,Labour,Ashcroft poll,11-Aug-14,,Labour,Poll suggests Lab may hold this seat,37.6,40.6,15.4,,,1.1,1.8,3.6,3.1
E14000568,Birmingham Yardley,Birmingham Yardley,West Mids,Yes,12,31,34,19,2,1,,,Lib Dem,Ashcroft poll,31-Oct-14,,Lib Dem,Poll suggests LD may hold this seat,19.2,32.2,39.6,,,,2.9,6.2,7.3
